executive_order_number,title,signing_date,disposition_notes,president,days,count
8657.0,"Extending the Classification Act of 1923, as Amended, to Certain Positions in the Navy Department and Establishing a Salary Differential Therefore",1941-02-03,"Federal Register page and date: 6 FR 769, February 5, 1941",Franklin D Roosevelt,2893,2849.0
8658.0,Establishing the Prairie Lake National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 769, February 5, 1941 
Revoked by: Public Land Order 900, June 24, 1953 (18 FR 3758)",Franklin D Roosevelt,2893,2850.0
8659.0,Establishing the Pretty Rock National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 770, February 5, 1941",Franklin D Roosevelt,2893,2851.0
8660.0,Establishing the Snyder Lake National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 770, February 5, 1941",Franklin D Roosevelt,2893,2852.0
8661.0,Establishing the Springwater National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 770, February 5, 1941",Franklin D Roosevelt,2893,2853.0
8662.0,Establishing the Stewart Lake National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 770, February 5, 1941",Franklin D Roosevelt,2893,2854.0
8663.0,Establishing Stoney Slough National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 771, February 5, 1941",Franklin D Roosevelt,2893,2855.0
8664.0,Establishing the Sunburst Lake National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 771, February 5, 1941",Franklin D Roosevelt,2893,2856.0
8665.0,Establishing Tomahawk National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 771, February 5, 1941",Franklin D Roosevelt,2893,2857.0
8666.0,Establishing White Lake National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 771, February 5, 1941",Franklin D Roosevelt,2893,2858.0
8667.0,Establishing the Wintering River National Wildlife Refuge; North Dakota,1941-02-03,"Federal Register page and date: 6 FR 771, February 5, 1941",Franklin D Roosevelt,2893,2859.0
8668.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in the President's Proclamation of February 4, 1941, Issued Pursuant to Section 6 of the Act of Congress Approved July 2, 1940, and Amending Regulations of January 15, 1941, Covering the Exportation of Certain Articles and Materials",1941-02-04,"Federal Register page and date: 6 FR 781, February 6, 1941 
Amends: EO 8640, January 15, 1941",Franklin D Roosevelt,2894,2860.0
8669.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in Proclamation  2449 of December 10, 1940",1941-02-04,"Federal Register page and date: 6 FR 782, February 6, 1941",Franklin D Roosevelt,2894,2861.0
8670.0,Exemption of Clarence E. Ingling From Compulsory Retirement for Age,1941-02-04,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2894,2862.0
8671.0,"Authorizing the Procurement Division To Use Tungsten Ore Acquired Pursuant to the Act of June 7, 1939",1941-02-04,"Federal Register page and date: 6 FR 805, February 7, 1941",Franklin D Roosevelt,2894,2863.0
8672.0,Amending the Foreign Service Regulations of the United States,1941-02-04,"Federal Register page and date: 6 FR 805, February 7, 1941 
Revoked by: EO 9521, February 13, 
      1945",Franklin D Roosevelt,2894,2864.0
8673.0,Designating the Robert Fechner Memorial Forest; Virginia,1941-02-05,"Federal Register page and date: 6 FR 831, February 8, 1941 
Amended by: Proc. 3294, May 20, 1959 
See: Proc. 2311, November 23, 1938",Franklin D Roosevelt,2895,2865.0
8674.0,"Amendment of   7293 of February 14, 1936, as Amended, Prescribing Regulations Governing the Granting of Allowances for Quarters and Subsistence to Enlisted Men",1941-02-06,"Federal Register page and date: 6 FR 831, February 8, 1941 
Amends: EO 7293, February 14, 1936",Franklin D Roosevelt,2896,2866.0
8675.0,Authorizing the Director of Selective Service To Establish or Designate Work of National Importance Under Civilian Direction for Persons Conscientiously Opposed to Combatant and Non-Combatant Service in the Land or Naval Forces of the United States,1941-02-06,"Federal Register page and date: 6 FR 831, February 8, 1941",Franklin D Roosevelt,2896,2867.0
8676.0,Exemption of Alexander W. Weddel From Compulsory Retirement for Age,1941-02-07,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2897,2868.0
8677.0,Employment of the Land and Naval Forces in the Control of Vessels in the Territorial Waters of the United States and the Canal Zone,1941-02-11,"Federal Register page and date: 6 FR 935, February 13, 1941",Franklin D Roosevelt,2901,2869.0
8678.0,"Placing Certain Lands Under the Control and Jurisdiction of the Navy Department, the War Department, and the United States Public Health Service; Puerto Rico",1941-02-11,"Federal Register page and date: 6 FR 935, February 13, 1941 
Supersedes: Executive order of July 22, 1902 (unnumbered series); EO 
      8337, February 3, 1940",Franklin D Roosevelt,2901,2870.0
8679.0,Authorizing Initial Appointments to the Positions of Assistant Director of the Naval Civilian Police Corps of the Navy Department Without Compliance With the Civil Service Rules,1941-02-13,"Federal Register page and date: 6 FR 959, February 15, 1941",Franklin D Roosevelt,2903,2871.0
8680.0,Establishing Naval Defensive Sea Areas Around and Naval Airspace Reservations Over the Islands of Kiska and Unalaska; Alaska,1941-02-14,"Federal Register page and date: 6 FR 1014, February 18, 1941 
Amended by: EO 8729, April 2, 1941",Franklin D Roosevelt,2904,2872.0
8681.0,Establishing Kaneohe Bay Naval Defensive Sea Area and Kaneohe Bay Naval Airspace Reservation; Hawaii,1941-02-14,"Federal Register page and date: 6 FR 1014, February 18, 1941",Franklin D Roosevelt,2904,2873.0
8682.0,"Establishing Naval Defensive Sea Areas Around and Naval Airspace Reservations Over the Islands of Palmyra, Johnston, Midway, Wake, and Kingman Reef; Pacific Ocean",1941-02-14,"Federal Register page and date: 6 FR 1015, February 18, 1941 
Amended by: EO 8729, April 2, 1941; EO 
      9881, of August 4, 1947
See: EO 9881, August 4, 1947",Franklin D Roosevelt,2904,2874.0
8683.0,"Establishing Naval Defensive Sea Areas Around and Naval Airspace Reservations Over the Islands of Rose, Tutuila, and Guam; Pacific Ocean",1941-02-14,"Federal Register page and date: 6 FR 1015, February 18, 1941 
See: EO 10341, April 8, 1952; EO 
      8729, April 2, 1941; EO 10341, April 8, 
      1952",Franklin D Roosevelt,2904,2875.0
8684.0,Establishing Culebra Island Naval Defensive Sea Area and Culebra Island Naval Airspace Reservation; Puerto Rico,1941-02-14,"Federal Register page and date: 6 FR 1016, February 18, 1941 
Amended by: EO 11673, June 6, 1972 
Revoked by: EO 11886, October 17, 1975",Franklin D Roosevelt,2904,2876.0
8685.0,Establishing the Imperial National Wildlife Refuge; Arizona and California,1941-02-14,"Federal Register page and date: 6 FR 1016, February 18, 1941 
Revoked by: Public Land Order 3032, April 10, 1963 (28 FR 3695)(in part); Public Land Order 4367, February 15, 1968 (33 FR 3228)(in part); Public Law 100-696 of November 18, 1988 (102 Stat. 4595)(in part); Public Land Order 7045, April 22, 1994 (59 FR 24947)(in part)",Franklin D Roosevelt,2904,2877.0
8686.0,Certain Personnel Transferred From U.S. Maritime Commission to Interstate Commerce Commission,1941-02-17,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2907,2878.0
8687.0,Amending Subdivision XIX of Schedule A of the Civil Service Rules,1941-02-17,"Federal Register page and date: 6 FR 1063, February 20, 1941",Franklin D Roosevelt,2907,2879.0
8688.0,Prescribing Regulations Governing the Granting of Allowances for Quarters to Certain Enlisted Men of the Army of the United States,1941-02-19,"Federal Register page and date: 6 FR 1083, February 21, 1941 
Superseded by: EO 9206, July 27, 1942",Franklin D Roosevelt,2909,2880.0
8689.0,Amending the Foreign Service Regulations of the United States,1941-02-19,"Federal Register page and date: 6 FR 1083, February 21, 1941 
Revoked by: EO 9521, February 13, 
      1945",Franklin D Roosevelt,2909,2881.0
8690.0,Exemption of John M. Terwilliger From Compulsory Retirement for Age,1941-02-19,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2909,2882.0
8691.0,Withdrawal of Public Land for Forest Lookout Station; Oregon,1941-02-20,"Federal Register page and date: 6 FR 1111, February 25, 1941 
Revokes: EO 6910, November 26, 1934 (in part) 
Revoked by: Public Land Order 2611, February 12, 1962 (27 FR 1492)(in part)",Franklin D Roosevelt,2910,2883.0
8692.0,Exemption of Edgar M. Cohee From Compulsory Retirement for Age,1941-02-21,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2911,2884.0
8693.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in the President's Proclamation of February 25, 1941, Issued Pursuant to Section 6 of the Act of Congress Approved July 2, 1940, and Amending Regulations of January 15, 1941, Covering the Exportation of Certain Articles and Materials",1941-02-25,"Federal Register page and date: 6 FR 1156, February 27, 1941 
Amends: EO 8640, January 15, 1941",Franklin D Roosevelt,2915,2885.0
8694.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in the President's Proclamation of February 25, 1941, Issued Pursuant to Section 6 of the Act of Congress Approved July 2, 1940, and Amending Regulations of January 15, 1941, Covering the Exportation of Certain Articles and Materials",1941-02-25,"Federal Register page and date: 6 FR 1157, February 27, 1941 
Amends: EO 8640, January 15, 1941",Franklin D Roosevelt,2915,2886.0
8695.0,"Extending the Limits of the Customs Port of Entry of Jonesport, Maine, in Customs Collection District  1 (Maine and New Hampshire)",1941-02-25,"Federal Register page and date: 6 FR 1187, February 28, 1941",Franklin D Roosevelt,2915,2887.0
8696.0,Transfer of Certain Lands From the Secretary of Agriculture to the Secretary of the Interior; New Mexico,1941-02-28,"Federal Register page and date: 6 FR 1229, March 4, 1941",Franklin D Roosevelt,2918,2888.0
8697.0,Transfer of Certain Lands From the Secretary of the Interior to the Secretary of Agriculture; New Mexico,1941-02-28,"Federal Register page and date: 6 FR 1230, March 4, 1941",Franklin D Roosevelt,2918,2889.0
8698.0,Exemption of Harry L. Mickey From Compulsory Retirement for Age,1941-03-01,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2919,2890.0
8699.0,"Covering Certain Positions in the Federal Deposit Insurance Corporation Into the Competitive Classified Civil Service, and Authorizing Certain Employees of That Corporation To Acquire a Classified Civil Service Status",1941-03-01,"Federal Register page and date: 6 FR 1285, March 5, 1941 
See: EO 7916, June 24, 1938; EO 
      8044, January 31, 1939",Franklin D Roosevelt,2919,2891.0
8700.0,"Revocation of   6667 of April 5, 1934, Withdrawing Public Lands; Colorado",1941-03-03,"Federal Register page and date: 6 FR 1285, March 5, 1941 
Revokes: EO 6667, April 5, 1934",Franklin D Roosevelt,2921,2892.0
8701.0,"Amendment of   8389 of April 10, 1940, as Amended",1941-03-04,"Federal Register page and date: 6 FR 1285, March 5, 1941 
Amends: EO 8389, April 10, 1940
See: Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601)",Franklin D Roosevelt,2922,2893.0
8702.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in the President's Proclamation of March 4, 1941, Issued Pursuant to Section 6 of the Act of Congress Approved July 2, 1940, and Amending Regulations of January 15, 1941, Covering the Exportation of Certain Articles and Materials",1941-03-04,"Federal Register page and date: 6 FR 1301, March 6, 1941 
See: EO 8640, January 15, 1941",Franklin D Roosevelt,2922,2894.0
8703.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in the President's Proclamation of March 4, 1941, Issued Pursuant to Section 6 of the Act of Congress Approved July 2, 1940, and Amending Regulations of January 15, 1941, Covering the Exportation of Certain Articles and Materials",1941-03-04,"Federal Register page and date: 6 FR 1301, March 6, 1941 
Amends: EO 8640, January 15, 1941",Franklin D Roosevelt,2922,2895.0
8704.0,Regulations Governing the Granting of Allowances for Quarters and Subsistence to Enlisted Men,1941-03-04,"Federal Register page and date: 6 FR 1302, March 6, 1941 
Supersedes: EO 7293, February 4, 1936
Amended by: EO 8759, May 24, 1941; EO 
      9105, March 20, 1942 
Superseded by: EO 9206, July 27, 1942",Franklin D Roosevelt,2922,2896.0
8705.0,Amending Certain Provisions of the Civil Service Rules,1941-03-05,"Federal Register page and date: 6 FR 1313, March 7, 1941 
Revoked by: EO 9830, February 24, 1947",Franklin D Roosevelt,2923,2897.0
8706.0,"Amending Paragraph 12 of   5865 of June 27, 1932, Prescribing Regulations Relating to Aerial Flights by Personnel of the Army, Navy, Marine Corps, Coast Guard, and National Guard",1941-03-06,"Federal Register page and date: 6 FR 1333, March 8, 1941 
Amends: EO 5865, June 27, 1933
Superseded by: EO 9195, July 6, 1942",Franklin D Roosevelt,2924,2898.0
8707.0,Amending Certain Provisions of the Civil Service Rules,1941-03-10,"Federal Register page and date: 6 FR 1399, March 13, 1941 
Revoked by: EO 9830, February 24, 1947",Franklin D Roosevelt,2928,2899.0
8708.0,Reserving Certain Public Lands in Connection With the Independence County Wildlife Refuge; Arkansas,1941-03-10,"Federal Register page and date: 6 FR 1399, March 13, 1941 
Supersedes: EO 6964, February 5, 1935 (in part)
Revoked by: Public Land Order 1517, September 27, 1957 (22 FR 7863)",Franklin D Roosevelt,2928,2900.0
8709.0,Changing the Name of the Wyoming National Forest to Bridger National Forest; Wyoming,1941-03-10,"Federal Register page and date: 6 FR 1400, March 13, 1941 
See: Proc. 1529; EO 873, July 1, 1908",Franklin D Roosevelt,2928,2901.0
8710.0,Exemption of Ales Hrdlicka From Compulsory Retirement for Age,1941-03-12,"See: EO 8058, February 23, 1939 ; EO 
      8368, March 7, 1940 
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,2930,2902.0
8711.0,"Amendment of   8389 of April 10, 1940, as Amended",1941-03-13,"Federal Register page and date: 6 FR 1443, March 15, 1941 
Amends: EO 8389, April 10, 1940 
See: Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601)",Franklin D Roosevelt,2931,2903.0
8712.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in Proclamations Issued Pursuant to the Provisions of Section 6 of the Act of Congress Approved July 2, 1940",1941-03-15,"Federal Register page and date: 6 FR 1501, March 19, 1941 
Amended by: EO 8889, September 2, 1941
Revoked by: EO 8752, May 6, 1941 (in part)
See: Proc. 2488, May 28, 1941",Franklin D Roosevelt,2933,2904.0
8713.0,"Prescribing Regulations Governing the Exportation of Articles and Materials Designated in Proclamation  2465 of March 4, 1941, Issued Pursuant to the Provisions of Section 6 of the Act of Congress Approved July 2, 1940",1941-03-15,"Federal Register page and date: 6 FR 1502, March 19, 1941 
See: Proc. 2488, May 28, 1941",Franklin D Roosevelt,2933,2905.0
8714.0,Designating Certain Officers To Act as Secretary of the Treasury in Case of Absence or Sickness of the Secretary,1941-03-18,"Federal Register page and date: 6 FR 1517, March 20, 1941 
Revoked by: EO 10586, January 13, 1955",Franklin D Roosevelt,2936,2906.0
8715.0,"Amendment of Chapter XIII of   4314 of September 25, 1925, Establishing Rules Governing Navigation of the Panama Canal and Adjacent Waters",1941-03-18,"Federal Register page and date: 6 FR 1531, March 21, 1941 
Amends: EO 4314, September 25, 1925",Franklin D Roosevelt,2936,2907.0
8716.0,Establishment of National Defense Mediation Board,1941-03-19,"Federal Register page and date: 6 FR 1532, March 21, 1941 
Amended by: EO 8731, April 4, 1941
See: EO 9017, January 12, 1942",Franklin D Roosevelt,2937,2908.0
8717.0,Establishing Kodiak Island Naval Defensive Sea Area; Alaska,1941-03-22,"Federal Register page and date: 6 FR 1621, March 26, 1941",Franklin D Roosevelt,2940,2909.0
8718.0,Establishing Subic Bay Naval Defensive Sea Area and Subic Bay Naval Airspace Reservation; Philippine Islands,1941-03-22,"Federal Register page and date: 6 FR 1621, March 26, 1941 
See: EO 9720, May 8, 1946",Franklin D Roosevelt,2940,2910.0
8719.0,Suspending Certain Statutory Provisions Relating to Employment in the Canal Zone,1941-03-22,"Federal Register page and date: 6 FR 1622, March 26, 1941",Franklin D Roosevelt,2940,2911.0
8720.0,Appointment of Watson B. Miller as Assistant Administrator of Federal Security Agency Without Regard to Civil Service Rules,1941-03-22,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2940,2912.0
8721.0,"Amendment of   8389 of April 10, 1940, as Amended",1941-03-24,"Federal Register page and date: 6 FR 1622, March 26, 1941 
Amends: EO 8389, April 10, 1940
See: Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601)",Franklin D Roosevelt,2942,2913.0
8722.0,"Modifying  of December 12, 1917, Creating Power Site Reserve  659, Coast Streams in Western Oregon",1941-03-28,"Federal Register page and date: 6 FR 1704, April 1, 1941 
Amends: Executive Order of December 12, 1917 (unnumbered series)",Franklin D Roosevelt,2946,2914.0
8723.0,"Power Site Restoration  494, Partial Revocation of  of December 12, 1917, Creating Power Site Reserve  659; Oregon",1941-03-28,"Federal Register page and date: 6 FR 1705, April 1, 1941 
Revokes: Executive order of December 12, 1917 (in part)(unnumbered series)",Franklin D Roosevelt,2946,2915.0
8724.0,Restoring Lands of the Homestead Field Military Reservation to the Use of the Territory of Hawaii,1941-03-29,"Federal Register page and date: 6 FR 1765, April 3, 1941",Franklin D Roosevelt,2947,2916.0
8725.0,Withdrawing Public Land for Use of the War Department; Florida,1941-03-29,"Federal Register page and date: 6 FR 1765, April 3, 1941
Amended by: EO 9526, February 28, 
      1945",Franklin D Roosevelt,2947,2917.0
8726.0,Exemption of Harry U. Wagner From Compulsory Retirement for Age,1941-03-29,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2947,2918.0
8727.0,"Amending Paragraphs 104b and 104c, Manual for Courts-Martial, United States Army, Relating to Limitations on Punishments",1941-04-01,"Federal Register page and date: 6 FR 1766, April 3, 1941 
See: EO 4773, November 29, 1927",Franklin D Roosevelt,2950,2919.0
8728.0,Exemption of Ernest C. Steward From Compulsory Retirement for Age,1941-04-02,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2951,2920.0
8729.0,"Correcting s Nos. 8680, 8682, and 8683 of February 14, 1941, Establishing Certain Naval Defensive Sea Areas and Naval Airspace Reservations",1941-04-02,"Federal Register page and date: 6 FR 1791, April 5, 1941 
Amends: EO 8680, February 14, 1941; EO 
      8682, February 14, 1941; EO 8683, February 
      14, 1941
Revoked by: EO 11045, August 21, 1962
See: EO 10341, April 8, 1952",Franklin D Roosevelt,2951,2921.0
8730.0,"Amendment of Subdivision IX, Schedule B, Civil Service Rules",1941-04-02,"Federal Register page and date: 6 FR 1792, April 5, 1941",Franklin D Roosevelt,2951,2922.0
8731.0,Amending   8716 To Provide for the Appointment of Alternate Members of the National Defense Mediation Board,1941-04-04,"Federal Register page and date: 6 FR 1809, April 8, 1941 
Amends: EO 8716, March 19, 1941 
See: EO 9017, January 12, 1942",Franklin D Roosevelt,2953,2923.0
8732.0,Withdrawing Public Land in Aid of Flood Control; Arkansas,1941-04-08,"Federal Register page and date: 6 FR 1857, April 10, 1941 
Supersedes: EO 6964, February 5, 1935",Franklin D Roosevelt,2957,2924.0
8733.0,"Withdrawing Public Land in Aid of Flood Control, Oklahoma",1941-04-10,"Federal Register page and date: 6 FR 1906, April 12, 1941",Franklin D Roosevelt,2959,2925.0
8734.0,Establishing the Office of Price Administration and Civilian Supply in the Executive Office of the President and Defining Its Functions and Duties,1941-04-11,"Federal Register page and date: 6 FR 1917, April 15, 1941 
Amended by: EO 8875, August 28, 1941; EO 
      9280, December 5, 1942; EO 9809, December 
      12, 1946 
Note: This Executive order was nullified by an Act of January 30, 1942 (56 Stat. 23, 50 U.S.C. App. 902)",Franklin D Roosevelt,2960,2926.0
8735.0,Authorizing Certain Employees of Federal Security Agency To Acquire a Competitive Classified Status Without Regard to Civil Service Rules,1941-04-14,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2963,2927.0
8736.0,"Partial Revocation of   5214 of October 30, 1929, Withdrawing Public Lands for Naval Purposes; Alaska",1941-04-14,"Federal Register page and date: 6 FR 1984, April 17, 1941 
Revokes: EO 5214, October 30, 1929 (in part)",Franklin D Roosevelt,2963,2928.0
8737.0,Fort Gulick Military Reservation; Canal Zone,1941-04-16,"Federal Register page and date: 6 FR 2013, April 19, 1941 
Amended by: EO 9110, March 24, 1942 
Superseded by: Canal Zone Order 6, March 31, 1947 (12 FR 5365)",Franklin D Roosevelt,2965,2929.0
8738.0,Allocating the Quota Under the Inter-American Coffee Agreement for Countries Not Signatories of the Agreement,1941-04-21,"Federal Register page and date: 6 FR 2047, April 22, 1941 
See: EO 8774, June 10, 1941",Franklin D Roosevelt,2970,2930.0
8739.0,"Revoking   6802 of August 4, 1934, and Withdrawing the Land Described Therein for the Use of the Alaska Game Commission; Alaska",1941-04-21,"Federal Register page and date: 6 FR 2047, April 22, 1941 
Revokes: EO 6802, August 4, 1934 
Revoked by: Public Land Order 2934, February 11, 1963 (28 FR 1476) (in part)
See: Public Land Order 1216, September 13, 1955 (20 FR 7004)",Franklin D Roosevelt,2970,2931.0
8740.0,Covering Certain Positions Into the Competitive Classified Civil Service and Amending Schedule A of the Civil Service Rules,1941-04-22,"Federal Register page and date: 6 FR 2119, April 25, 1941",Franklin D Roosevelt,2971,2932.0
8741.0,"Revocation of   5623 of May 15, 1931, Withdrawing Public Lands; California",1941-04-23,"Federal Register page and date: 6 FR 2119, April 25, 1941 
Revokes: EO 5623, May 15, 1931",Franklin D Roosevelt,2972,2933.0
8742.0,"Partial Revocation of  of July 9, 1910, Creating Coal Land Withdrawal, Montana  1",1941-04-23,"Federal Register page and date: 6 FR 2119, April 25, 1941 
Revokes: Executive Order of July 9, 1910 (in part)(Unnumbered series)",Franklin D Roosevelt,2972,2934.0
8743.0,Extending the Classified Civil Service,1941-04-23,"Federal Register page and date: 6 FR 2117, April 25, 1941 
Amended by: EO 8744, April 24, 1941; EO 
      9230, August 20, 1942; EO 9358, July 1, 
      1943; EO 9678, January 14, 1946; EO 
      9712, April 13, 1946; EO 12107, December 
      28, 1978 
See: EO 9807, November 29, 1946",Franklin D Roosevelt,2972,2935.0
8744.0,Authorizing Certain Employees of the Government To Acquire a Classified Civil Service Status,1941-04-24,"Federal Register page and date: 6 FR 2118, April 25, 1941 
Amends: EO 8743, April 23, 1941 
Amended by: EO 12107, December 28, 1978 
    
Revoked by: EO 12608, September 9, 1987",Franklin D Roosevelt,2973,2936.0
8745.0,Exemption of Charley R. Davis From Compulsory Retirement for Age,1941-04-24,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2973,2937.0
8746.0,"Amendment of   8389 of April 10, 1940, as Amended",1941-04-28,"Federal Register page and date: 6 FR 2187, April 30, 1941  
Amends: EO 8389, April 10, 1940 
See: Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601)",Franklin D Roosevelt,2977,2938.0
8747.0,Exemption of Louis A. Simon From Compulsory Retirement for Age,1941-04-28,"See: EO 7581 March 19, 1937; EO 7824 February 25, 1938; EO 8046 February 11, 1939; EO 8369 March 7, 1940
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,2977,2939.0
8748.0,Approving Regulations of the Civil Service Commission Relating to Efficiency-Rating Boards of Review,1941-05-01,"Federal Register page and date: 6 FR 2251, May 3, 1941  
Superseded by: EO 9155, May 1, 1942; EO 
      9252, October 9, 1942",Franklin D Roosevelt,2980,2940.0
8749.0,Establishing Guantanamo Bay Naval Defensive Sea Area and Guantanamo Bay Naval Airspace Reservation; Cuba,1941-05-01,"Federal Register page and date: 6 FR 2252, May 3, 1941",Franklin D Roosevelt,2980,2941.0
8750.0,Exemption of Alphonso L. Graham From Compulsory Retirement for Age,1941-05-02,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2981,2942.0
8751.0,Establishing the Division of Defense Aid Reports in the Office for Emergency Management of the Executive Office of the President,1941-05-02,"Federal Register page and date: 6 FR 2301, May 7, 1941 
Revoked by: EO 8926, October 28, 1941
See: EO 8839, July 30, 1941",Franklin D Roosevelt,2981,2943.0
8752.0,"Amendment of   8712 of March 15, 1941, Prescribing Regulations Governing the Exportation of Articles and Materials Designated in Proclamations Issued Pursuant to the Provisions of Section 6 of the Act of Congress Approved July 2, 1940",1941-05-06,"Federal Register page and date: 6 FR 2333, May 8, 1941   
Amends: EO 8752, May 6, 1941",Franklin D Roosevelt,2985,2944.0
8753.0,"Amendment of Section 60 of the Regulations Governing Highways, Vehicles, and Vehicular Traffic in the Canal Zone",1941-05-13,"Federal Register page and date: 6 FR 2439, May 16, 1941   
Amends: EO 7242, December 6, 1935",Franklin D Roosevelt,2992,2945.0
8754.0,Exemption of Frederick A. Sterling From Compulsory Retirement for Age,1941-05-14,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,2993,2946.0
8755.0,Withdrawing Public Lands for Use of the War Department as a Demolition and Practice Bombing Range; Alaska,1941-05-16,"Federal Register page and date: 6 FR 2473, May 20, 1941   
Amended by: EO 9526, February 28, 
      1945; Public Land Order 2676, May 4, 1962 (27 FR 4516) 
Revoked by: Public Land Order 689, November 20, 1950 (15 FR 8119)(in part); Public Land Order 891, April 15, 1953 (18 FR 2294)(in part)",Franklin D Roosevelt,2995,2947.0
8756.0,"Amendment of   8633 of January 14, 1941, Ordering Certain Units and Members of the National Guard of the United States Into the Active Military Service of the United States",1941-05-17,"Federal Register page and date:  6 FR 2474, May 20, 1941  
Amends: EO 8633, January 14, 1941",Franklin D Roosevelt,2996,2948.0
8757.0,Establishing the Office of Civilian Defense in the Office for Emergency Management of the Executive Office of the President,1941-05-20,"Federal Register page and date: 6 FR 2517, May 22, 1941
Amended by: EO 8799, June 20, 1941; EO 
      8822, July 16, 1941; EO 9134, April 15, 
      1942; EO 9165, May 19, 1942 
See: EO 9165, May 19, 1942; EO 
      9339, April 29, 1943; EO 9562, June 
      4, 1945",Franklin D Roosevelt,2999,2949.0
8758.0,Establishing Conversion Factors for Use in Administering Quotas on Imports of Coffee,1941-05-21,"Federal Register page and date: 6 FR 2535, May 23, 1941",Franklin D Roosevelt,3000,2950.0
8759.0,"Amendment of   8704 of March 4, 1941, Prescribing Regulations Governing the Granting of Allowances for Quarters and Subsistence to Enlisted Men",1941-05-24,"Federal Register page and date:  6 FR 2600, May 28, 1941     
Amends: EO 8704, March 4, 1941 
Superseded by: EO 9206, July 27, 1942",Franklin D Roosevelt,3003,2951.0
8760.0,Restricting the Eligibility of Federal Employees To Take Civil Service Examinations and To Be Certified,1941-05-27,"Federal Register page and date: 6 FR 2618, May 29, 1941
Revoked by: EO 9830, February 24, 1947",Franklin D Roosevelt,3006,2952.0
8761.0,Exemption of Edward P. Davis From Compulsory Retirement for Age,1941-05-27,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,3006,2953.0
8762.0,Exemption of Frank L. Hess From Compulsory Retirement for Age,1941-05-27,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,3006,2954.0
8763.0,Establishing the Necedah Wildlife Management Area; Wisconsin,1941-05-28,"Amends: EO 6964, February 5, 1935 
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,3007,2955.0
8764.0,Appointment of John H. Dillon as Junior Administrative Officer to Secretary of the Navy,1941-06-03,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,3013,2956.0
8765.0,"Appointment of Alexander H. Knauss as Junior Historical Aide, Vanderbilt Mansion, National Park Service",1941-06-03,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,3013,2957.0
8766.0,Documents Required of Aliens Entering the United States,1941-06-03,"Federal Register page and date:  6 FR 2741, June 6, 1941     
Revokes: EO 8430, June 5, 1940 
Superseded by: Proc. 2523, November 14, 1941 (in part)
See: EO 7865, April 12, 1938; EO 
      8029, December 27, 1938
Note: The authority of this Executive Order was repealed by an Act of June 7, 1952 (66 Stat. 280, 8 U.S.C. 1101).",Franklin D Roosevelt,3013,2958.0
