executive_order_number,title,signing_date,disposition_notes
11705.0,"The Honorable Cleo A. Noel, Junior George Curtis Moore","March 6, 1973","Federal Register page and date: 38 FR 6135; March 7, 1973"
11704.0,Further exempting A. Everett MacIntyre from compulsory retirement for age,"February 28, 1973","Federal Register page and date: 38 FR 5619; March 2, 1973"
11703.0,Assigning policy development and direction functions with respect to the oil import control program,"February 7, 1973","Federal Register page and date: 38 FR 3579; February 8, 1973
Amends: Proc. 3279, March 10, 1959
Amended by: EO 12188, January 2, 1980
Superseded by: EO 11743, October 23, 1973
See: Treasury Decision No. 225 (38 FR 12939) creating an Office of the Energy Advisor in the Department of the Treasury"
11702.0,Relative to the Executive Office of the President,"January 25, 1973","Federal Register page and date: 38 FR 2957; January 31, 1973
Amends: EO 11583, February 24, 1971
Revokes: EO 11453, January 24, 1969"
11701.0,Employment of veterans by Federal agencies and Government contractors and subcontractors,"January 24, 1973","Federal Register page and date: 38 FR 2675; January 29, 1973
Supersedes: EO 11598, June 16, 1971"
11700.0,"Providing for the closing of Government departments and agencies on Thursday, January 25, 1973","January 23, 1973","Federal Register page and date: 38 FR 2325; January 24, 1973"
11699.0,"Amending   11248, placing certain positions in levels IV and V of the Federal Executive Salary","January 22, 1973","Federal Register page and date: 38 FR 2323; January 24, 1973
Amends: EO 11248, October 10, 1965 (which 
      was revoked by EO 11708, March 23, 1973)"
11698.0,Relating to the implementation of the Convention on the Taking of Evidence Abroad in Civil or Commercial Matters,"January 19, 1973","Federal Register page and date: 38 FR 2207; January 23, 1973"
11697.0,Inspection by Department of Agriculture of income tax returns made under the Internal Revenue Code of 1954 of persons having farm operations,"January 17, 1973","Federal Register page and date: 38 FR 1723; January 18, 1973
Revoked by: EO 11773, March 21, 1974
See: EO 11709, March 27, 1973"
11696.0,"Excusing Federal employees in the Washington, DC., metropolitan area from duty for one-half day on Friday, January 19, 1973","January 17, 1973","Federal Register page and date: 38 FR 1722; January 18, 1973"
11695.0,Further providing for the stabilization of the economy,"January 11, 1973","Federal Register page and date: 38 FR 1473; January 12, 1973
Revokes in part: EO 11627, October 15, 1971
Supersedes: EO 11588, March 29, 1971; EO 
      11640, January 26, 1972; EO 11660, March 
      23, 1972; EO 11674, June 29, 1972
Superseded in part by: EO 11781, May 
      1, 1974
Revoked by: EO 11788, June 18, 1974
See: EO 11615, August 15, 1971; EO 
      11627, October 15, 1971; EO 11723, June 13, 1973; 
      EO 11730, July 18, 1973"
11694.0,Creating an emergency board to investigate a dispute between the Port Authority Trans-Hudson Corporation and certain of its employees,"January 2, 1973","Federal Register page and date: 38 FR 729; January 4, 1973
Revoked by: EO 12553, February 25, 1986"
11693.0,"Providing for the closing of Government departments and agencies on December 28, 1972","December 26, 1972","Federal Register page and date: 37 FR 28461; December 27, 1972"
11692.0,Adjusting the rates of monthly basic pay for members of the Uniformed Services,"December 15, 1972","Federal Register page and date: 37 FR 27609; December 19, 1972
Amended by: EO 11778, April 12, 1974
Superseded by: EO 11812, October 7,

      1974"
11691.0,Adjusting rates of pay for certain statutory pay systems,"December 15, 1972","Federal Register page and date: 37 FR 27607; December 19, 1972
Amended by: EO 11777, April 12, 1974
Superseded by: EO 11811, October 7,

      1974"
11690.0,Delegation of certain functions to the Executive Director of the Domestic Council,"December 14, 1972","Federal Register page and date: 37 FR 26815; December 16, 1972
Revokes: EO 11455, February 14, 1969"
11689.0,Extending diplomatic privileges and immunities to the Mission to the United States of America of the Commission of the European Communities and to certain members thereof,"December 5, 1972","Federal Register page and date: 37 FR 25987; December 7, 1972"
11688.0,Amending   11399 with respect to the membership of the National Council on Indian Opportunity,"December 1, 1972","Federal Register page and date: 37 FR 25815; December 5, 1972
Amends: EO 11399, March 6, 1968
Council terminated November 26, 1974, under provisions of Pub. L. 91-125 (83 Stat. 220, 25 U.S.C. nt. prec. 1)"
11687.0,"Delegating functions conferred upon the President by section 1455 of title 10 of the United States Code, establishing the Retired Serviceman's Survivor Benefit Plan","October 11, 1972","Federal Register page and date: 37 FR 21479; October 12, 1972
Amended by: EO 12608 of September 9, 1987
See: Pub. L. 92-425 (86 Stat. 706)"
11686.0,Committee management,"October 7, 1972","Federal Register page and date: 37 FR 21421; October 11, 1972
Revokes in part: EO 11671 of June 5, 1972
Supersedes: EO 11671 of June 5, 1972, effective 90 days after October 6, 1972
Superseded by: EO 11769, February

      21, 1974
See: Pub. L. 92-463 (86 Stat. 770)"
11685.0,"Amending   10973, relating to administration of foreign assistance and related functions, and   11501, relating to administration of foreign military sales","September 25, 1972","Federal Register page and date: 37 FR 20155; September 27, 1972
Amends: EO 10973, November 3, 1961;

      EO 11501, December 22, 1969
Revoked by in part by: EO 11958, January

      18, 1977; EO 12163, July 29, 1979 (together

      revokes all of EO)"
11684.0,"Amendment of   11554, suspending the provisions of section 5707(c) of title 10, United States Code, which relate to promotion of Navy and Marine Corps officers","August 30, 1972","Federal Register page and date: 37 FR 17959; September 2, 1972
Amends: EO 11554, August 29, 1970
See Pub. L. 94-412 (90 Stat. 1255; 50 U.S.C. 1601)"
11683.0,"Revoking   11677 of August 1, 1972, and continuing in effect   11533 of June 4, 1970, relating to the administration of export controls","August 29, 1972","Federal Register page and date: 37 FR 17813; September 1, 1972
Revokes: EO 11677, August 1, 1972
Continues: EO 11533, June 4, 1970
Continued by EO 11818, November 5,

      1974
Revoked by: EO 12002, July 7, 1977
See: EO 11533, June 4, 1970; Pub. L. 92-412

      (86 Stat. 644); EO 11818, November 5,

      1974; EO 11940, September 30, 1976"
11682.0,Inspection by the Department of the Treasury of tax returns made under the Internal Revenue Code of 1954 for economic stabilization purposes,"August 29, 1972","Federal Register page and date: 37 FR 17701; August 31, 1972"
11681.0,"Revoking   5221 of November 11, 1929, establishing a limitation on non-official employment of officers or employees of the American Government","August 21, 1972","Federal Register page and date: 37 FR 16909; August 23, 1972
Revokes: EO 5221, November 11, 1929"
11680.0,Designation of certain officers to act as Secretary of the Treasury,"August 21, 1972","Federal Register page and date: 37 FR 16907; August 23, 1972
Revokes: EO 10941, May 15, 1961
Revoked by: EO 11822, December 10,

      1974"
11679.0,Creating an emergency board to investigate a dispute between the Long Island Rail Road Company and certain of its employees,"August 19, 1972","Federal Register page and date: 37 FR 16857; August 22, 1972
Revoked by: EO 12553, February 25, 1986"
11678.0,Providing for the repair and restoration of nonprofit private educational institutions damaged by hurricane and tropical storm Agnes,"August 16, 1972","Federal Register page and date: 37 FR 16667; August 18, 1972
Superseded by: EO 11749, December 10, 1973
See: Pub. L. 92-385 (86 Stat. 554); EO 11725,

      June 27, 1973"
11677.0,Continuing the regulation of exports,"August 1, 1972","Federal Register page and date: 37 FR 15483; August 3, 1972
Revoked by: EO 11683, August 29, 1972
See: Proc. 2914, December 16, 1950; Proc. 4074, August 15, 1971; EO

      11322, January 5, 1967; EO 11419, July

      29, 1968; EO 11533, June 4, 1970"
11676.0,Providing for the establishment of an Office of National Narcotics Intelligence within the Department of Justice,"July 27, 1972","Federal Register page and date: 37 FR 15125; July 28, 1972
Amends: EO 11248, October 10, 1965 (which

      was revoked by EO 11708, March 23, 1973)
Revoked by: EO 11727, July 6, 1973
See: Order 491-72 of the Department of Justice implementing EO 11676 (37 FR 16936)"
11675.0,Exemption of John S. Patterson from mandatory retirement for age,"July 26, 1972","Federal Register page and date: 37 FR 15123; July 28, 1972"
11674.0,"Amending   11640, as amended, further providing for the stabilization of the economy","June 29, 1972","Federal Register page and date: 37 FR 12913; June 30, 1972
Amends: EO 11640, January 26, 1972
Superseded by: EO 11695, January 11, 1973"
11673.0,Amending   8684 to redefine the Culebra Island Naval Defensive Sea Area,"June 6, 1972","Federal Register page and date: 37 FR 11547; June 8, 1972
Amends: EO 8684, February 14, 1941
Revoked by: EO 11886, October 17, 1975"
11672.0,Providing for the transfer or furnishing of property under the Postal Reorganization Act,"June 6, 1972","Federal Register page and date: 37 FR 11455; June 8, 1972"
11671.0,Committee management,"June 5, 1972","Federal Register page and date: 37 FR 11307; June 7, 1972
Supersedes: EO 11007, February 26, 1962;

      and all provisions of prior Executive Orders to extent they are in conflict

      with provisions of EO 11671
Revoked in part by EO 11686, October 7, 1972
Superseded by: EO 11686, effective 90 days after October 6, 1972
See: Pub. L. 92-463 (86 Stat. 770)"
11670.0,Providing for the return of certain lands to the Yakima Indian Reservation,"May 20, 1972","Federal Register page and date: 37 FR 10431; May 23, 1972
Supersedes: Any prior order or proclamation relating to the tract of land affected by this order, to the extent inconsistent with this order
See: Proc. 401, February 22, 1897; Proc. 725, March 2, 1907; EO 820, June 18, 1908; EO 821, June 18, 1908; Proc. 1170, October 23, 1911; Proc. 2845, June 15, 1949; Treaty of 1855 with Yakima Tribe (12 Stat. 951)"
11669.0,J. Edgar Hoover,"May 2, 1972","Federal Register page and date: 37 FR 9013; May 4, 1972"
11668.0,Providing for a National Center for Housing Management,"April 21, 1972","Federal Register page and date: 37 FR 8057; April 25, 1972"
11667.0,Establishing the President's Advisory Committee on the Environmental Merit Awards Program,"April 19, 1972","Federal Register page and date: 37 FR 7763; April 20, 1972
Committee continued by: EO 11827, January

      4, 1975
Revoked by: EO 11948, December 20, 1976"
11666.0,Qualification for the investment credit on certain articles and classes of articles of predominantly foreign origin,"April 11, 1972","Federal Register page and date: 37 FR 7199; April 12, 1972"
11665.0,James F. Byrnes,"April 10, 1972","Federal Register page and date: 37 FR 7145; April 11, 1972"
11664.0,Creating an emergency board to investigate a dispute between the Penn Central Transportation Company and certain of its employees,"March 31, 1972","Federal Register page and date: 37 FR 6651; April 1, 1972
Revoked by: EO 12553, February 25, 1986"
11663.0,Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees,"March 31, 1972","Federal Register page and date: 37 FR 6647; April 1, 1972
Revoked by: EO 12553, February 25, 1986"
11662.0,"Further providing for the administration of the Disaster Relief Act of 1970, as amended","March 29, 1972","Federal Register page and date: 37 FR 6563; March 31, 1972
Amends: EO 11575, December 31, 1970
Superseded by: EO 11749, December 10, 1973
See: EO 11725, June 27, 1973"
11661.0,Relating to facilitating coordination of Federal education programs,"March 24, 1972","Federal Register page and date: 37 FR 6281; March 28, 1972
Revokes: EO 11260, December 11, 1965
Superseded by: EO 11761, January 17,

      1974
See: EO 11185, October 16, 1964"
11660.0,"Amending   11640, further providing for the stabilization of the economy","March 23, 1972","Federal Register page and date: 37 FR 6175; March 25, 1972
Amends: EO 11640, January 26, 1972
Superseded by: EO 11695, January 11, 1973
See: EO 11615, August 15, 1971; EO

      11627, October 15, 1971"
11659.0,Establishment of the Upper Mississippi River Basin Commission,"March 22, 1972","Federal Register page and date: 37 FR 6047; March 24, 1972
Amended by: EO 11737, September 7, 973;

      EO 11882, October 6, 1975; EO

      12038, February 3, 1978; EO 12148, July

      20, 1979
Revoked by: EO 12319, September 9,

      1981"
11658.0,Establishment of the Missouri River Basin Commission,"March 22, 1972","Federal Register page and date: 37 FR 6045; March 24, 1972
Amended by: EO 11882, October 6, 1975; EO

      12038, February 3, 1978; EO 12148, July

      20, 1979
Revoked by: EO 12319, September 9,

      1981"
11657.0,Exemption of C. Everette Spangler from compulsory retirement for age,"March 22, 1972","Federal Register page and date: 37 FR 6043; March 24, 1972"
11656.0,"Inspection of income, estate, and gift tax returns by the Select Committee on Crime, House of Representatives","March 14, 1972","Federal Register page and date: 37 FR 5479; March 16, 1972"
11655.0,"Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Government Operations, House of Representatives","March 14, 1972","Federal Register page and date: 37 FR 5477; March 16, 1972"
11654.0,Transfer of the Federal Fire Council to the Department of Commerce,"March 13, 1972","Federal Register page and date: 37 FR 5361; March 15, 1972
Supersedes:

      

      EO 7397, June 20, 1936; EO 10257, June

      23, 1951
Revoked by: EO 12379, August 17, 1972
See: EO 11612, July 26, 1971"
11653.0,Exemption of Jack T. Stuart from compulsory retirement for age,"March 9, 1972","Federal Register page and date: 37 FR 5115; March 10, 1972"
11652.0,Classification and declassification of national security information and material,"March 8, 1972","Federal Register page and date: 37 FR 5209; March 10, 1972
Revokes: EO 10501, November 5,

      1953
Amended by: EO 11714, April 24, 1973; EO

      11862, June 11, 1975; EO 12038, February

      3, 1978
Revoked by: EO 12065, June 28, 1978
See: EO 11905, February 18, 1976; EO

      11932, August 4, 1976; EO 10901,

      January 9, 1961; Directive of May 17, 1972 (37 FR 10053); Directive of July

      30, 1976 (41 FR 32693)"
11651.0,Textile Trade Agreements,"March 3, 1972","Federal Register page and date: 37 FR 4699; March 4, 1972
Supersedes: EO 11052, September 28, 1962;

      EO 11214, April 7, 1965
Amended by: EO 11951, January 6, 1977;

      EO 12188, January 2, 1980
Supplemented by: EO 12475, May 9, 1984
See: Proclamation 7746 of December 30, 2003; Proclamation 7747 of December 30, 2003; Proclamation 7987 of February 28, 2006 (71 FR 10827); Proclamation 8039 of July 27, 2006 (71 FR 43635)"
11650.0,Inspection by certain classes of persons and State and Federal Government establishments of returns made in respect of certain taxes imposed by the Internal Revenue Code of 1954,"February 16, 1972","Federal Register page and date: 37 FR 3739; February 19, 1972
Revoked by: EO 12553, February 25, 1986"
11649.0,Regulations governing the seals of the President and the Vice President of the United States,"February 16, 1972","Federal Register page and date: 37 FR 3625; February 18, 1972
Amended by: EO 11916, May 28, 1976"
11648.0,Amendment of   11183 which established the President's Commission on White House Fellowships,"February 16, 1972","Federal Register page and date: 37 FR 3623; February 18, 1972
Amends: EO 11183, October 3, 1964
Amended by: EO 12107, December 28, 1978
See: EO 11410, May 6, 1968; EO

      12012, October 3, 1977"
11647.0,Federal Regional Councils,"February 10, 1972","Federal Register page and date: 37 FR 3167; February 12, 1972
Amended by: EO 11731, July 23, 1973; EO

      11892, December 31, 1975; EO 12038, February

      3, 1978
Revoked by: EO 12149, July 20, 1979"
11646.0,Membership of Department of State on the Great Lakes Basin Commission,"February 8, 1972","Federal Register page and date: 37 FR 2925; February 10, 1972
Amends: EO 11345, April 20, 1967
Revoked by: EO 12319, September 9,

      1981"
11645.0,Authority of the Secretary of Transportation to prescribe certain regulations relating to Coast Guard housing,"February 8, 1972","Federal Register page and date: 37 FR 2923; February 10, 1972
Amended by: EO 13286, February 28, 2003"
11644.0,Use of off-road vehicles on the public lands,"February 8, 1972","Federal Register page and date: 37 FR 2877; February 9, 1972
Amended by: EO 11989, May 24, 1977;

      EO 12608, September 9, 1987"
11643.0,Environmental safeguards on activities for animal damage control on Federal lands,"February 8, 1972","Federal Register page and date: 37 FR 2875; February 9, 1972
Amended by: EO 11870, July 18, 1975; EO

      11917, May 28, 1976
Revoked by: EO 12342, January 27, 1982"
11642.0,Further exempting A. Everette MacIntyre from compulsory retirement for age,"February 1, 1972","Federal Register page and date: 37 FR 2565; February 3, 1972
See: EO 11568, November 16, 1970"
11641.0,Concentration of law enforcement activities relating to drug abuse,"January 28, 1972","Federal Register page and date: 37 FR 2421; February 1, 1972
Amends: EO 11248, October 10, 1965
Revoked by: EO 11727, July 6, 1973"
11640.0,Further providing for the stabilization of the economy,"January 26, 1972","Federal Register page and date: 37 FR 1213; January 27, 1972
Revokes: EO 11588, March 29, 1971
Supersedes: EO 11627, October 15, 1971;

      EO 11630, October 30, 1971; EO

      11632, November 22, 1971
Amended by: EO 11660, March 23, 1972; EO 11674, June 29, 1972
Superseded by: EO 11695, January 11, 1973
Revoked by: EO 11788, June 18, 1974
See: EO 11615, August 15, 1971; EO

      11639, January 11, 1972"
11639.0,Providing for pay adjustments for Federal prevailing rate systems,"January 11, 1972","Federal Register page and date: 37 FR 521; January 13, 1972
Amended by: EO 12107, December 28, 1978
See: EO 11627, October 15, 1971; EO

      11640, January 26, 1972"
11638.0,Adjusting the rates of monthly basic pay for members of the Uniformed Services,"December 22, 1971","Federal Register page and date: 36 FR 24913; December 24, 1971
Superseded by: EO 11812, October 7,

      1974"
11637.0,Adjusting rates of pay for certain statutory pay systems,"December 22, 1971","Federal Register page and date: 36 FR 24911; December 24, 1971
Superseded by: EO 11811, October 7,

      1974"
11636.0,Employee-management relations in the Foreign Service of the United States,"December 17, 1971","Federal Register page and date: 36 FR 24901; December 24, 1971
Amends: EO 11264, December 31, 1965; EO

      11491, October 29, 1969
Amended by: EO 12027, December 5,

      1977; EO 12128, April 4, 1979
Revoked by: EO 12292, February 23,

      1981
See: EO 11901, January 30, 1976"
11635.0,Continuation of Souris-Red-Rainy-River Basins Commission,"December 9, 1971","Federal Register page and date: 36 FR 23615; December 11, 1971
Amends: EO 11359, June 20, 1967
Superseded by: EO 11737, September 7, 1973"
11634.0,"Amending   11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule","December 6, 1971","Federal Register page and date: 36 FR 23287; December 8, 1971
Amends: EO 11248, October 10, 1965 (which

      was revoked by EO 11708, March 23, 1973)"
11633.0,"Security clearance program for United States citizens employed directly by the North Atlantic Treaty Organization, the South-East Asia Treaty Organization, and the Central Treaty Organization","December 3, 1971","Federal Register page and date: 36 FR 32197; December 7, 1971
See: EO 10865, February 20, 1960"
11632.0,"Amending   11627 of October 15, 1971, further providing for the stabilization of the economy","November 22, 1971","Federal Register page and date: 36 FR 22221; November 23, 1971
Amends: EO 11627, October 15, 1971
Superseded by: EO 11640, January 26, 1972"
11631.0,"Inspection of income, estate, and gift tax returns by the Committee on Public Works, House of Representatives","November 9, 1971","Federal Register page and date: 36 FR 21575; November 11, 1971"
11630.0,"Amending   11627 of October 15, 1971, further providing for the stabilization of the economy","October 30, 1971","Federal Register page and date: 36 FR 21023; November 3, 1971
Amends: EO 11627, October 15, 1971
Superseded by: EO 11640, January 26, 1972"
11629.0,Delegation of authority to the Secretary of State to perform the function vested in the President by article IV of the Convention Between the United States of America and Mexico for the Protection of Migratory Birds and Game Mammals (50 Stat. 1311; TS 912),"October 26, 1971","Federal Register page and date: 36 FR 20647; October 28, 1971"
11628.0,Establishing a seal for the Environmental Protection Agency,"October 18, 1971","Federal Register page and date: 36 FR 20285; October 20, 1971"
11627.0,Further providing for the stabilization of the economy,"October 15, 1971","Federal Register page and date: 36 FR 20139; October 16, 1971
Amends: EO 11588, August 15, 1971
Supersedes: EO 11615, August 15, 1971; EO 11617, September 2, 1971
Amended by: EO 11630, October 30, 1971; EO 11632, November 22, 1971
Superseded by: EO 11640, January 26, 1972
Revoked by: EO 11788, June 18, 1974
See: EO 11639, January 11, 1972; EO

      11660, March 23, 1972; EO 11695, January

      11, 1973; EO 11781, May 1, 1974; EO

      11695, January 11, 1973"
11626.0,The Honorable Dean Acheson,"October 13, 1971","Federal Register page and date: 36 FR 20027; October 15, 1971"
11625.0,Prescribing additional arrangements for developing and coordinating a national program for minority business enterprise,"October 13, 1971","Federal Register page and date: 36 FR 19967; October 14, 1971
Supersedes: EO 11458, March 5, 1969
Advisory Council for Minority Enterprise Continued by: EO

      11827, January 4, 1975; EO 11948, December

      20, 1976
Amended by: EO 12007, August 22,

      1977
Council terminated by EO 11007, February

      26, 1962
See: EO 13170, October 6, 2000"
11624.0,"Inspection of income, excess profits, estate, gift, and excise tax returns by the Senate Committee on Commerce","October 12, 1971","Federal Register page and date: 36 FR 19965; October 14, 1971"
11623.0,Delegating to the Director of Selective Service authority to issue rules and regulations under the Military Selective Service Act,"October 12, 1971","Federal Register page and date: 36 FR 19963; October 14, 1971
Amended by: EO 12608, September 9, 1987; EO 13286, February 28, 2003"
11622.0,Amending  11621 creating a board of inquiry,"October 5, 1971","Federal Register page and date: 36 FR 19491; October 7, 1971
Amends: EO 11621, October 4, 1971
Revoked by: EO 12553, February 25, 1986"
11621.0,Creating a board of inquiry to report on certain labor disputes affecting the maritime industry of the United States,"October 4, 1971","Federal Register page and date: 36 FR 19435; October 6, 1971
Amended by: EO 11622, October 5, 1971
Revoked by: EO 12553, February 25, 1986"
11620.0,The Honorable Hugo L. Black,"September 25, 1971","Federal Register page and date: 36 FR 19063; September 28, 1971"
11619.0,Exemption of Rose A. Conway from mandatory retirement,"September 22, 1971","Federal Register page and date: 36 FR 18943; September 24, 1971
See: EO 11228, June 14, 1965"
11618.0,"Further amending   10713, providing for administration of the Ryukyu Islands","September 10, 1971","Federal Register page and date: 36 FR 18365; September 14, 1971
Amends: EO 10713, June 5, 1957
Nullified by treaty with Japan on May 15, 1972 (TIAS 7314, 23 UST 446)
See: EO 11010, March 19, 1962; EO

      11263, December 20, 1965; EO 11395, January

      31, 1968"
11617.0,"Amending   11615, providing for stabilization of prices, rents, wages, and salaries","September 2, 1971","Federal Register page and date: 36 FR 17813; September 4, 1971
Amends: EO 11615, August 15, 1971
Superseded by: EO 11627, October 15, 1971"
11616.0,"Amending   11491, relating to labor-management relations in the Federal service","August 26, 1971","Federal Register page and date: 36 FR 17319; August 28, 1971
Amends: EO 11491, October 29, 1969
Amended by: EO 12107, December 28, 1978
See: EO 11901, January 30, 1976"
11615.0,"Providing for stabilization of prices, rents, wages, and salaries","August 15, 1971","Federal Register page and date: 36 FR 15727; August 17, 1971
Amended by: EO 11617, September 2, 1971
Superseded by: EO 11627, October 15, 1971
See: EO 11660, March 23, 1972; EO

      11695, January 11, 1973; EO 11781,

      May 1, 1974; EO 11788, June 18, 1974"
11614.0,Establishing the National Business Council for Consumer Affairs,"August 5, 1971","Federal Register page and date: 36 FR 14621; August 7, 1971
Council terminated January 5, 1975, under provisions of Pub. L. 92-463 ( 86 Stat. 776, 5 U.S.C. App)
See: EO 11007, February 26, 1962"
11613.0,Membership of Environmental Protection Agency on Established River Basin Commissions,"August 2, 1971","Federal Register page and date: 36 FR 14299; August 4, 1971
Amends: EO 11331, March 6, 1967; EO

      11345, April 20, 1967; EO 11359, June

      20, 1967; EO 11371, September 6, 1967
Amended by: EO 12319, September 9,

      1981
See: EO 11528, April 24, 1970"
11612.0,Occupational safety and health programs for Federal employees,"July 26, 1971","Federal Register page and date: 36 FR 13891; July 28, 1971
Supersedes: EO 10990, February 2, 1962
Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015
Superseded by: EO 11807, September 28, 1974
See: EO 11654, March 13, 1972; EO 13585, September 30, 2011"
11611.0,"Inspection of income, excess profits, estate, and gift tax returns by the Committee on Internal Security, House of Representatives","July 26, 1971","Federal Register page and date: 36 FR 13889; July 28, 1971"
11610.0,Further amending  10789 authorizing agencies of the Government to exercise certain contracting authority in connection with national defense functions and prescribing regulations governing the exercise of such authority,"July 22, 1971","Federal Register page and date: 36 FR 13755; July 24, 1971
Amends: EO 10789, November 14, 1958
See: EO 11051, September 27, 1962; EO

      11382, November 28, 1967; Pub. L. 94-412 (90 Stat. 1255, 50 U.S.C. 1601)"
11609.0,Delegating certain functions vested in the President to other officers of the Government,"July 22, 1971","Federal Register page and date: 36 FR 13747; July 24, 1971
Amends: EO 11302, September 6, 1966
Supersedes: EO 10604, April 22, 1955; EO

      11230, June 28, 1965; EO 11275, March

      31, 1966; EO 11290, July 21, 1966
Supersedes in part: EO 11294, August 4,

      1966; EO 11541, July 1, 1970
Amended by: EO 11713, April 21, 1973; EO

      11779, April 19, 1974; EO 12107, December

      28, 1978; EO 12215, May 27, 1980; EO

      12466, February 27, 1974; EO 12522, June

      24, 1985; EO 12608, September 9, 1987; EO

      12822, November 16, 1992
See: EO 11429, September 9, 1968"
11608.0,Termination of Federal Field Committee for Development Planning in Alaska,"July 19, 1971","Federal Register page and date: 36 FR 13367; July 21, 1971
Revokes in part: EO 11182, October 2, 1964;

      EO 11386, December 28, 1967"
11607.0,Establishing the Advisory Council on Intergovernmental Personnel Policy,"July 19, 1971","Federal Register page and date: 36 FR 13317; July 20, 1971
Revoked by: EO 11792, June 25, 1974"
11606.0,Amending the Selective Service regulations,"July 10, 1971","Federal Register page and date: 36 FR 13087; July 14, 1971
Amends: EO 10001, September 17, 1948; EO

      10735, October 17, 1957; EO 11360, June

      30, 1967; EO 11497, November 26, 1969
Revoked by: EO 12553, February 25, 1986"
11605.0,"Amendment of   10450 of April 27, 1953, relating to security requirements for Government employment","July 2, 1971","Federal Register page and date: 36 FR 12831; July 8, 1971
Amends: EO 10450, April 27, 1953
Revoked by: EO 11785, June 4, 1974
See: EO 9835, March 21, 1947"
11604.0,"Amending   11248, placing certain positions in levels IV and V of the Federal executive salary schedule","July 2, 1971","Federal Register page and date: 36 FR 12727; July 7, 1971
Amends: EO 11248, October 10, 1965 (which

      was revoked by EO 11708, March 23, 1973)"
11603.0,Assigning additional functions to the Director of ACTION,"June 30, 1971","Federal Register page and date: 36 FR 12675; July 3, 1971
Supersedes: EO 11041, August 6, 1962; EO

      11470, May 26, 1969; EO 11250, October

      10, 1965
Amended by: EO 12107, December 28, 1978
Superseded by: EO 12137, May 16, 1979
See: EO 10924, March 1, 1961; EO

      11223, May 12, 1965; EO 10450,

      April 27, 1953"
11602.0,"Providing for administration of the Clean Air Act with respect to Federal contracts, grants, or loans","June 29, 1971","Federal Register page and date: 36 FR 12475; July 1, 1971
Superseded by: EO 11738, September 10, 1973"
11601.0,"Amending   11390, providing for the delegation of certain functions of the President to the Secretary of Defense","June 29, 1971","Federal Register page and date: 36 FR 12473; July 1, 1971
Amends: EO 11390, January 22, 1968"
11600.0,Establishing a seal for the Office of Management and Budget,"June 29, 1971","Federal Register page and date: 36 FR 12471; July 1, 1971"
11599.0,Establishing a special action office for drug abuse prevention,"June 17, 1971","Federal Register page and date: 36 FR 11793; June 19, 1971
Nullified by: Pub. L. 92-255 (86 Stat. 65, 21 U.S.C. 1101 note) which establishes the Special Action Office for Drug Abuse Prevention superseding this Executive order."
11598.0,To provide for the listing of certain job vacancies by Federal agencies and Government contractors and subcontractors,"June 16, 1971","Federal Register page and date: 36 FR 11711; June 18, 1971
Superseded by: EO 11701, January 24, 1973"
11597.0,Amendment to   11513 increasing the membership of the President's Commission on School Finance,"June 11, 1971","Federal Register page and date: 36 FR 11501; June 15, 1971
Amends: EO 11513, March 3, 1970"
11596.0,"Designating the Customs Cooperation Council as a public international organization entitled to enjoy certain privileges, exemptions, and immunities","June 5, 1971","Federal Register page and date: 36 FR 11079; June 9, 1971"
11595.0,"Amending  11583, establishing the Office of Consumer Affairs","May 26, 1971","Federal Register page and date: 36 FR 9763; May 28, 1971
Amends: EO 11583, February 24, 1971
See: EO 11702, January 25, 1973 (transfers

      Office to HEW)"
11594.0,Providing for the use of transportation priorities and allocations during the current railroad strike,"May 17, 1971","Federal Register page and date: 36 FR 8995; May 18, 1971
See: EO 10480, August 14, 1953"
11593.0,Protection and enhancement of the cultural environment,"May 13, 1971","Federal Register page and date: 36 FR 8921; May 15, 1971
See: EO 13006 of May 21, 1996; 13022 of

      October 31, 1996"
11592.0,Delegating certain authority of the President to the Director of the Office of Management and Budget,"May 6, 1971","Federal Register page and date: 36 FR 8555; May 8, 1971"
11591.0,Amending   11157 as it relates to basic allowances for quarters for members with dependents,"April 23, 1971","Federal Register page and date: 36 FR 7833; April 27, 1971
Amends: EO 11157, June 22, 1964"
11590.0,Applicability of   11222 and  11478 to the United States Postal Service and of   11478 to the Postal Rate Commission,"April 23, 1971","Federal Register page and date: 36 FR 7831; April 27, 1971
Amends: EO 11222, May 8, 1965; EO

      11478, August 8, 1969"
11589.0,Delegating to the United States Civil Service Commission certain authorities of the President under the Intergovernmental Personnel Act of 1970 and the Federal Civil Defense Act of 1950,"April 1, 1971","Federal Register page and date: 36 FR 6343; April 3, 1971
Amended by: EO 12107, December 28, 1978
See: Reorganization Plan No. 1 of 1958; EO

      10952, July 20, 1961"
11588.0,Providing for the stabilization of wages and prices in the construction industry,"March 29, 1971","Federal Register page and date: 36 FR 6339; April 3, 1971
Amended by: EO 11627, October 15, 1971
Revoked in part by: EO 11640, January 26,

      1972
Superseded by: EO 11695, January 11, 1973
Revoked by: EO 11788, June 18, 1974
See: Proc. 4040, March 29, 1971; EO 11781,

      May 1, 1974"
