Order Number,Name,Signed Date,Notes
Executive Order    8251," Regulations Governing the Entrance of Foreign and Domestic Aircraft Into the Canal Zone, and Navigation Therein ","Signed: September 12, 1939 ","Federal Register page and date: 4 FR 3899, September 14, 1939  
Revokes: 
    
    EO 4971, September 28, 1928 
Amended by: EO 8271, October 16, 1939  Superseded by: Canal Zone Order 3, January 21, 1947 (12 FR 898) 
See: EO 8232, September 5, 1939; Proc. 2350, 
      September 5, 1939 
"
Executive Order    8252, Exemption of Samuel J. Gompers From Compulsory Retirement for Age ,"Signed: September 14, 1939","Amended by: EO 8543, September 18, 1940  Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8253 ,Exemption of Walter I. Swanton From Compulsory Retirement for Age,"Signed: September 18, 1939 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8254," Authorizing Increases in the Personnel and Facilities of the United States Coast Guard, Treasury Department","Signed: September 18, 1939 ","Federal Register page and date: 4 FR 3983, September 20, 1939  
"
Executive Order    8255 ,Transfer of Control and Jurisdiction Over Certain Lands From the Secretary of Agriculture to the Secretary of the Interior,"Signed: September 18, 1939","Federal Register page and date: 4 FR 3983, September 20, 1939 
"
Executive Order    8256, Exemption of Maurice C. Latta From Compulsory Retirement for Age ,"Signed: September 20, 1939 ","See: EO 8497, July 26, 1940; EO 
      8904, September 22, 1941  Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8257, Authorizing Excepted Appointments To Meet Public Exigency ,"Signed: September 21, 1939 ","Federal Register page and date: 4 FR 4023, September 23, 1939  
Amended by: EO 8564, October 8, 1940 
Revoked by: EO 9830, February 24, 1947
"
Executive Order    8258 ,"Amending Paragraph 7, Subdivision I, Schedule A of the Civil Service Rules","Signed: September 21, 1939 ","Federal Register page and date: 4 FR 4023, September 23, 1939 
"
Executive Order    8259 ,Exemption of Harry T. Edwards From Compulsory Retirement for Age ,"Signed: September 21, 1939 ","See: EO 8525, August 26, 1940; EO 
      8827, July 24, 1941 Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8260 ,Exemption of James L. Hughes From Compulsory Retirement for Age,"Signed: September 21, 1939  ","Amended by: EO 8562, October 8, 1940  Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8261 ,"Amendment of Executive Order No. 7972 of September 15, 1938","Signed: September 21, 1939 ","Federal Register page and date: 4 FR 4043, September 26, 1939
Amends: EO 7972, September 15, 1938 
Revoked by: EO 9687, January 26, 1946 
"
Executive Order    8262 ,Exemption of Samuel A. Cottrell From Compulsory Retirement for Age,"Signed: September 26, 1939","See: EO 8555, August 16, 1941; EO 
      8805, June 25, 1941  Note: This Executive order was not received for publication in the Federal Register.  
"
Executive Order    8263 ,Exemption of William F. Mackenzie From Compulsory Retirement for Age,"Signed: September 26, 1939","Note: This Executive order was not received for publication in the Federal Register.  
"
Executive Order    8264 ,"Appointment of Master Sergeant Morris Swett, United States Army Retired, as Librarian Without Compliance With Civil Service Rules ","Signed: September 30, 1939","Note: This Executive order was not received for publication in the Federal Register.  
"
Executive Order    8265 ," Designation of the Director of the Bureau of Mines To Act as Secretary of the Interior, or as Under Secretary, First Assistant Secretary, or Assistant Secretary of the Interior","Signed: September 30, 1939 ","Federal Register page and date: 4 FR 4108, October 3, 1939 
"
Executive Order    8266 ,Exempting Certain Positions From Salary Classification  ,"Signed: October 4, 1939","Federal Register page and date: 4 FR 4167, October 6, 1939 
See: 
    
    EO 6746, June 21, 1934 
"
Executive Order    8267 ,"Amendment of Executive Order No. 7242 of December 6, 1935, Prescribing Regulations Governing Highways, Vehicles, and Vehicular Traffic in the Canal Zone ","Signed: October 5, 1939 ","Federal Register page and date: 4 FR 4183, October 7, 1939
Amends: 
    
    EO 7242, December 6, 1935 
"
Executive Order    8268, Exemption of George W. Stone From Compulsory Retirement for Age ,"Signed: October 9, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8269," Amendment of Basic Exchange Rates Prescribed by Section 4 of Executive Order No. 7972 of September 15, 1938","Signed: October 11, 1939 ","Federal Register page and date: 4 FR 4241, October 13, 1939 
Amends: EO 7972, September 15, 1938 
Revoked by: EO 9687, January 26, 1946 
"
Executive Order    8270, Exemption of Edward M. Neville From Compulsory Retirement for Age ,"Signed: October 16, 1939  ","Note: This Executive order was not received for publication in the Federal Register.  
"
Executive Order    8271," Amendment of Section 6 of Executive Order No. 8251 of September 12, 1939, Prescribing Regulations Governing the Entrance of Foreign and Domestic Aircraft Into the Canal Zone, and Navigation Therein ","Signed: October 16, 1939","Federal Register page and date: 4 FR 4277, October 18, 1939
Superseded by: Canal Zone Order 3, January 21, 1947 (12 FR 898)
"
Executive Order    8272," Amendment of Subdivision VII, Schedule A, Civil Service Rules","Signed: October 16, 1939","Federal Register page and date: 4 FR 4277, October 18, 1939
"
Executive Order    8273, Excepting Appointments in the United States Coronado Exposition Commission From the Requirements of the Civil Service Act and Rules,"Signed: October 21, 1939","Federal Register page and date: 4 FR 4321, October 24, 1939
"
Executive Order    8274, Exemption of Edward A. Neill From Compulsory Retirement for Age ,"Signed: October 26, 1939 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8275, Exemption of Harvey J. Zimmerman From Compulsory Retirement for Age,"Signed: October 26, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8276 , Extension of Trust Periods on Indian Lands Expiring During Calendar Year 1940,"Signed: October 28, 1939","Federal Register page and date: 4 FR 4444, November 1, 1939  
"
Executive Order    8277 ,Transfer of Jurisdiction Over Certain Lands From the Secretary of Agriculture to the Secretary of War; Oklahoma ,"Signed: October 28, 1939","Federal Register page and date: 4 FR 4444, November 1, 1939 
Amends: EO 7908, June 9, 1938 Superseded by: EO 9282, December 15, 1942 
    
"
Executive Order    8278 , Withdrawing Public Land and Water for Naval Purposes; Alaska,"Signed: October 28, 1939","Federal Register page and date: 4 FR 4444, November 1, 1939 
Revokes: EO 7748, November 20, 1937  Amended by: Public Land Order 1182, July 1, 1955 (20 FR 4871)
Revoked by: Public Land Order 3705, June 10, 1965 (30 FR 7901) (in part); Public Land Order 4119, December 13, 1966 (31 FR 16202) (in part); Public Land Order 5550, December 1, 1975 (40 FR 56667) (in part)
See: EO 8344, February 10, 1940; Public Land 
      Order 2235, December 20, 1960 (25 FR 13696)
"
Executive Order    8279 ,"Designation of the Director of the Bureau of Mines To Act as Secretary of the Interior, or as Under Secretary, First Assistant Secretary, or Assistant Secretary of the Interior","Signed: October 28, 1939","Federal Register page and date: 4 FR 4445, November 1, 1939
"
Executive Order    8280," Amendment of Paragraph 4, Subdivision IV, Schedule B of the Civil Service Rules","Signed: October 31, 1939 ","Federal Register page and date: 4 FR 4453, November 2, 1939
"
Executive Order    8281 ,"Amendment of Executive Order No. 8176 of June 21, 1939, Prescribing Regulations Governing the Grades and Ratings of Enlisted Men of the Regular Army for the Fiscal Year 1940","Signed: November 1, 1939","Federal Register page and date: 4 FR 4453, November 2, 1939
Amends: EO 8176, June 21, 1939 
"
Executive Order    8282, Exemption of John S. Biggs From Compulsory Retirement for Age ,"Signed: November 9, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8283 ,Amendment of Section 6 of Civil Service Rule II,"Signed: November 9, 1939 ","Federal Register page and date: 4 FR 4565, November 14, 1939 
Amends: EO 7916, June 24, 1938
Amended by: EO 8363, March 4, 1940 
Revoked by: EO 9830, February 24, 1947
"
Executive Order    8284 ,Prescribing the Duties of the Librarian Emeritus of the Library of Congress,"Signed: November 13, 1939","Federal Register page and date: 4 FR 4603, November 17, 1939 
"
Executive Order    8285 ,Appointment of George K. Briggs Without Regard to Civil Service Rules ,"Signed: November 16, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8286, Exemption of Hugh J. Murray From Compulsory Retirement for Age ,"Signed: November 16, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8287 ,Exemption of Arthur H. Chase From Compulsory Retirement for Age,"Signed: November 18, 1939","Amends: EO 8011, November 19, 1938  Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8288, Making Certain Changes in the Field Organization of the Customs Service in the State of Texas ,"Signed: November 22, 1939","Federal Register page and date: 4 FR 4691, November 28, 1939 
"
Executive Order    8289, Establishing the Bosque del Apache National Wildlife Refuge ,"Signed: November 22, 1939","Federal Register page and date: 4 FR 4691, November 28, 1939 
"
Executive Order    8290 ,Retirement of Foreign Service Officer Franklin B. Atwood,"Signed: November 30, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8291," Excusing Federal Employees From Duty on December 23 and 30, 1939 ","Signed: November 30, 1939 Federal Register page and date: 4 FR 4761, December 5, 1939 ",
Executive Order    8292, Amending the Foreign Service Regulations of the United States,"Signed: November 30, 1939 ","Federal Register page and date: 4 FR 4761, December 5, 1939 
Revokes: 
    
    EO 7470, October 15, 1936 
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order    8293 ,Suspension of Eight-Hour Law as to Persons Employed by the Government in the Construction of Certain Emergency Air Bases ,"Signed: November 30, 1939","Federal Register page and date: 4 FR 4762, December 5, 1939 
"
Executive Order    8294 ,"Appointment of Admiral William D. Leahy, Governor of the Territory of Puerto Rico, as Administrator of the Puerto Rico Reconstruction Administration ","Signed: November 30, 1939 ","Federal Register page and date: 4 FR 4763, December 5, 1939  
Amends: 
    
    EO 7057, May 28, 1935; 
    
    EO 7180, September 6, 1935; EO 7689, August 12, 
    1937 
See: EO 8888, September 1, 1941; EO 
      9278, December 4, 1942; EO 9618, 
      September 19, 1945; EO 9901, October 25, 1947 
    
"
Executive Order    8295 ,"Partial Revocation of Executive Order of January 3, 1917, and June 16, 1925","Signed: November 30, 1939 ","Federal Register page and date: 4 FR 4763, December 5, 1939 
Amends: Executive order of January 3, 1917 (unnumbered series); Executive order of June 16, 1925 (unnumbered series)
"
Executive Order    8296, Changing the Name of the Pathfinder Wildlife Refuge and Adding Certain Lands Thereto ,"Signed: November 30, 1939 ","Federal Register page and date: 4 FR 4763, December 5, 1939 
Amends: 
    
    EO 7425, August 1, 1936
"
Executive Order    8297, Amending the Foreign Service Regulations of the United States,"Signed: December 4, 1939","Federal Register page and date: 4 FR 4779, December 7, 1939 
Amends: EO 7968, September 3, 1938 
Amended by: EO 9303, February 11, 1943; EO 
      9407, December 17, 1943 Superseded by: Foreign Service Reg. S-6, November 6, 1945 (10 FR 13751)(in part); Foreign Service Reg. S-14, January 8, 1946 (11 FR 527)(in part)
Revoked by: EO 9521, February 13, 
      1945 
See: EO 9591, July 21, 1945; EO 
      9767, August 9, 1945
"
Executive Order    8298 ,"Regulations Governing the Manner of Executing and Returning Commissions by Officers of the Foreign Service in Criminal Cases, and Schedule of Fees and Compensation in Such Cases ","Signed: December 4, 1939","Federal Register page and date: 4 FR 4781, December 7, 1939
Revoked by: EO 10307, November 23, 1951
"
Executive Order    8299, Withdrawal of Public Lands; Colorado ,"Signed: December 4, 1939 ","Federal Register page and date: 4 FR 4782, December 7, 1939
"
Executive Order    8300 ,Amendment of Section 2 (b) of Civil Service Rule VII ,"Signed: December 12, 1939 ","Federal Register page and date: 4 FR 4847, December 14, 1939
Revoked by: EO 9830, February 24, 1947
"
Executive Order    8301," Authorizing and Directing Carroll L. Wilson, Special Assistant to the Secretary of Commerce, To Act as Director of the Bureau of Foreign and Domestic Commerce During the Sickness or Absence of the Director ","Signed: December 12, 1939","Federal Register page and date: 4 FR 4847, December 14, 1939 
"
Executive Order    8302, Exemption of Frank Burke From Compulsory Retirement for Age ,"Signed: December 12, 1939","Note: This Executive order was not received for publication in the Federal Register.  
"
Executive Order    8303," Waiver of E.O. of Jan. 17, 1873, To Permit Huntington Cairns To Hold State Office","Signed: December 13, 1939 ","See: 
    
    EO 9, January 17, 1873 
Note: This Executive order was not received for publication in the Federal Register.  
"
Executive Order    8304 ,"Revocation of Executive Order No. 2552 of March 21, 1917, Withdrawing Public Lands for Lighthouse Purposes; Alaska","Signed: December 19, 1939 ","Federal Register page and date: 4 FR 4909, December 22, 1939 
Revokes: 
    
    EO 2552, March 21, 1917 
"
Executive Order    8305, Reserving Certain Public Lands for the Use of the War Department for Military Purposes; Alaska ,"Signed: December 19, 1939 ","Federal Register page and date: 4 FR 4909, December 22, 1939 
Revokes: EO 4629, April 13, 1927
Amended by: EO 9526, February 28, 1945; Public Land Order 743, August 16, 1951 (16 FR 8366) 
See: Public Land Order 1491, September 9, 1957 (22 FR 7311) 
"
Executive Order    8306 ,Taxes and Licenses in the Canal Zone,"Signed: December 19, 1939 ","Federal Register page and date: 4 FR 4909, December 22, 1939
Revokes: 
    
    EO 2062, October 13, 1914
See: Canal Zone Order No. 42 (21 FR 582) 
"
Executive Order    8307 ,Amending the Foreign Service Regulations of the United States ,"Signed: December 19, 1939 ","Federal Register page and date: 4 FR 4910, December 22, 1939 
Revokes: 
    
    EO 3987, April 4, 1924
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order    8308," Exemption of Gerrit S. Miller, Jr., From Compulsory Retirement for Age","Signed: December 19, 1939 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8309, Exemption of Harry J. Morrison From Compulsory Retirement for Age ,"Signed: December 19, 1939","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8310, Exemption of Louis C. Vogt From Compulsory Retirement for Age ,"Signed: December 19, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8311 ,Exemption of Alexander McKeon From Compulsory Retirement for Age ,"Signed: December 19, 1939","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8312,  Exemption of David D. Caldwell From Compulsory Retirement for Age,"Signed: December 21, 1939 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8313 , Appointment of Henry Schneider to Treasury Department Without Regard to Civil Service Rules ,"Signed: December 22, 1939  ","Note: This Executive order was not received for publication in the Federal Register.   
"
Executive Order    8314 ,Exemption of John Kieley From Compulsory Retirement for Age ,"Signed: December 22, 1939","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8315,  Making Certain Changes in Customs Collection District No. 38; Michigan ,"Signed: December 22, 1939","Federal Register page and date: 4 FR 4941, December 27, 1939  
"
Executive Order    8316 ," Authorizing the Initial Appointment to a Certain Position in the Wage and Hour Division, Department of Labor, Without Compliance With the Civil Service Rules, and Revoking in Part Executive Order No. 8027 of December 23, 1938","Signed: December 27, 1939","Federal Register page and date: 4 FR 4979, December 30, 1939 
Amends: EO 8027, December 23, 1938 
"
,,,
Executive Order    8317 , Amendment of Schedule B of the Civil Service Rules ,"Signed: January 10, 1940 ","Federal Register page and date: 5 FR 165, January 12, 1940 
"
Executive Order    8318,"  Authorization of Committee on Education and Labor, United States Senate, To Inspect Income, Profits, and Capital Stock Tax Returns and Returns of Employment Tax on Employers ","Signed: January 10, 1940 ","Federal Register page and date: 5 FR 193, January 16, 1940 
"
Executive Order    8319,  Changing the Name of the Necedah Migratory Waterfowl Refuge and Adding Certain Lands Thereto; Wisconsin,"Signed: January 15, 1940","Federal Register page and date: 5 FR 207, January 17, 1940 
Amends: EO 8065, March 14, 1939
Amended by: EO 8479, July 11, 1940
See: Public Land Order 1785, February 3, 1959 (24 FR 972)
"
Executive Order    8320 , Amending the Description of the Aiea Military Reservation; Territory of Hawaii,"Signed: January 15, 1940","Federal Register page and date: 5 FR 207, January 17, 1940 
See: 
      
      EO 5692, August 24, 1931; 
      
      EO 6630, March 6, 1934; EO 10411, November 
      14, 1952 
"
Executive Order    8321,  Establishing the Battery Cove Military Reservation; Virginia ,"Signed: January 15, 1940","Federal Register page and date: 5 FR 208, January 17, 1940 
"
Executive Order    8322 , Exemption of John M. Terwilliger From Compulsory Retirement for Age ,"Signed: January 15, 1940","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8323,"  Abolishing Customs Collection District No. 43 (Tennessee), Revoking the Designations of Memphis, Chattanooga, and Nashville, Tennessee, as Customs Ports of Entry, and Extending the Limits of Customs Collection District No. 42 (Kentucky) and Customs Collection District No. 45 (Saint Louis)","Signed: January 22, 1940 ","Federal Register page and date: 5 FR 271, January 24, 1940 
Revoked by: EO 8341, February 8, 1940
"
Executive Order    8324 ," Abolishing Customs Collection District No. 48 (Utah and Nevada), Revoking the Designation of Salt Lake City, Utah, as a Customs Port of Entry, and Extending the Limits of Customs Collection District No. 28 (San Francisco) To Include the States of Utah and Nevada","Signed: January 22, 1940 ","Federal Register page and date: 5 FR 271, January 24, 1940 
"
Executive Order    8325 , Withdrawal of Public Land for Use of the War Department; Alaska,"Signed: January 22, 1940","Federal Register page and date: 5 FR 271, January 24, 1940 
Amended by: EO 9526, February 28, 
      1945 
Revoked by: Public Land Order 690, November 22, 1950 (15 FR 8165) 
"
Executive Order    8326,  Exemption of William S. Garland From Compulsory Retirement for Age,"Signed: January 22, 1940","Amends: EO 7995, October 28, 1938 
Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8327,  Exemption of Dr. Mary B. Harris From Compulsory Retirement for Age,"Signed: January 22, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8328,  Exemption of Henry Clarke Hill From Compulsory Retirement for Age ,"Signed: January 22, 1940 ","Amends: EO 8041, January 25, 1939
Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8329 , Waiver of Time Limitation To Permit Reinstatement of Rural Carrier Van C. Brodrick,"Signed: January 22, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8330,  Withdrawal of Public Land in Aid of Flood Control; Alaska,"Signed: January 24, 1940 ","Federal Register page and date: 5 FR 314, January 27, 1940 
"
Executive Order    8331,  Enlarging the Upper Mississippi River Wildlife and Fish Refuge; Minnesota and Wisconsin,"Signed: January 24, 1940 ","Federal Register page and date: 5 FR 314, January 27, 1940 
Revoked by: Public Land Order 584, April 12, 1949 (14 FR 1870) (in part); Public Land Order 936, February 4, 1954 (19 FR 769) 
"
Executive Order    8332 , Withdrawal of Public Land for the Improvement of the Flood Channel of the Big Black River; Mississippi,"Signed: January 25, 1940 ","Federal Register page and date: 5 FR 313, January 27, 1940 
 Revokes: 
    
    EO 6964, February 5, 1935 (in part)
"
Executive Order    8333 ," Amending Executive Order No. 5952 of November 23, 1932, Prescribing the Army Ration ","Signed: January 25, 1940","Federal Register page and date: 5 FR 315, January 27, 1940 
 Amends: 
    
    EO 5952, November 23, 1932 
Revoked by: EO 11339, March 28, 1967
See: Transfer Order 32 of the Secretary of Defense dated March 26, 1949 (14 FR 1619) 
"
Executive Order    8334 , Authorizing the Archivist of the United States To Effect Initial Appointments to Certain Positions in the Franklin D. Roosevelt Library Without Regard to the Requirements of the Civil Service Act and Rules,"Signed: January 25, 1940","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8335 ," Extending the Limits of the Customs Port of Entry of Charleston, South Carolina, in Customs Collection District Number 16; South Carolina","Signed: January 31, 1940","Federal Register page and date: 5 FR 429, February 2, 1940 
Amended by: Bureau of Customs regulation of December 28, 1955(21 FR 79)
"
Executive Order    8336 ," Revocation of Executive Order No. 3355 of November 19, 1920, Withdrawing Land for Use as an Administrative Site; Alaska ","Signed: February 3, 1940","Federal Register page and date: 5 FR 593, February 6, 1940 
 Revokes: 
    
    EO 3355, November 19, 1920 
"
Executive Order    8337 ," Placing Certain Lands Under the Control and Jurisdiction of the Navy Department, the War Department, and the United States Public Health Service; Puerto Rico","Signed: February 3, 1940 ","Federal Register page and date: 5 FR 593, February 6, 1940 
Revokes: Executive order of July 22, 1902 (unnumbered series) 
Superseded by: EO 8678, February 11, 1941 
"
Executive Order    8338,"  Partial Revocation of Executive Order No. 6795 of July 26, 1934, Withdrawing Public Lands","Signed: February 6, 1940 ","Federal Register page and date: 5 FR 625, February 8, 1940 
 Revokes: 
    
    EO 6795, July 26, 1934 (in part)
"
Executive Order    8339 , Authorizing the Civil Service Commission To Confer a Competitive Classified Civil-Service Status Upon Certain Employees Assigned to the Wage and Hour Division of the Department of Labor ,"Signed: February 6, 1940 ","Federal Register page and date: 5 FR 625, February 8, 1940 
 Amends: 
    
    EO 6795, July 26, 1934 
"
Executive Order    8340,  Exemption of Frank E. Gass From Compulsory Retirement for Age ,"Signed: February 8, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8341,"  Revocation of Executive Order No. 8323 of January 22, 1940, Abolishing Customs Collection District No. 43 (Tennessee), Revoking the Designations of Memphis, Chattanooga, and Nashville, Tennessee, as Customs Ports of Entry, and Extending the Limits of Customs Collection District No. 42 (Kentucky) and Customs Collection District No. 45 (St. Louis)","Signed: February 8, 1940 ","Federal Register page and date: 5 FR 643, February 10, 1940 
Revokes: EO 8323, January 22, 1940
"
Executive Order    8342,  Withdrawal of Public Land in Aid of Flood Control; Oklahoma,"Signed: February 9, 1940","Federal Register page and date: 5 FR 653, February 13, 1940 
 Amends: 
    
    EO 6964, February 5, 1935 
"
Executive Order    8343, Withdrawal of Public Lands for Military Purposes; Alaska ,"Signed: February 10, 1940 ","Federal Register page and date: 5 FR 654, February 13, 1940 
Amended by: EO 9526, February 28, 
      1945; Public Land Order 2676, May 4, 1962 (27 FR 4516); Public Land Order 
      2962, March 5, 1963 (28 FR 2310) 
"
Executive Order    8344 , Withdrawal of Public Land for Classification; Alaska,"Signed: February 10, 1940","Federal Register page and date: 5 FR 654, February 13, 1940 
Amended by: Public Land Order 128, May 22, 1943 (8 FR 8557) 
Revoked by: EO 8540, September 14, 1940 (in 
      part); EO 8655, January 30, 1941 (in part); 
      EO 8789, June 14, 1941 (in part); EO 
      8857, August 19, 1941 (in part); EO 8877, 
      August 29, 1941 (in part); Public Land Order 917, October 6, 1953 (18 FR 
      6455) (in part); Public Land Order 1245, November 3, 1955 (20 FR 8423) (in 
      part)
See: Public Land Order 363, April 9, 1947 (12 FR 2478); Public Land Order 364, April 9, 1947 (12 FR 2478); Public Land Order 781, December 29, 1951 (17 FR 160); Public Land Order 1034, December 10, 1954 (23 FR 3350)
"
Executive Order    8345 , Exemption of Fred C. Bailey From Compulsory Retirement for Age ,"Signed: February 12, 1940 ","Amends: EO 8060, March 7, 1939
Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8346,  Amending the Foreign Service Regulations of the United States ,"Signed: February 12, 1940","Federal Register page and date: 5 FR 671, February 15, 1940 
 Revokes: 
    
    EO 3653-A, March 27, 1922; 
    
    EO 3899, September 6, 1923; 
    
    EO 3900, September 11, 1923; 
    
    EO 5463, October 15, 1930; 
    
    EO 7439, August 24, 1936 
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order    8347 ," Transferring the Use, Possession, and Control of Certain Lands to the Tennessee Valley Authority; Alabama","Signed: February 12, 1940","Federal Register page and date: 5 FR 671, February 15, 1940 
 Amends: 
    
    EO 6964, February 5, 1935 
"
Executive Order    8348 , Exemption of John E. White From Compulsory Retirement for Age ,"Signed: February 14, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8349 , Exemption of Thomas E. McElree From Compulsory Retirement for Age,"Signed: February 14, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8350,  Exemption of Alexander E. Twomey From Compulsory Retirement for Age,"Signed: February 14, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8351 , Exemption of Sims Ely From Compulsory Retirement for Age ,"Signed: February 25, 1940 ","See: EO 8070, March 21, 1939 
Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8352 , Amending Chapter IX of the Foreign Service Regulations of the United States,"Signed: February 25, 1940 ","Federal Register page and date: 5 FR 819, March 1, 1940 
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order    8353 ," Restoring the Possession, Use, and Control of Certain Land to the Territory of Hawaii","Signed: February 25, 1940","Federal Register page and date: 5 FR 819, March 1, 1940 
"
Executive Order    8354 , Fort Kobbe Military Reservation; Canal Zone,"Signed: February 25, 1940","Federal Register page and date: 5 FR 820, March 1, 1940 
 Supersedes: 
    
    EO 4947, August 11, 1928
Superseded by: Canal Zone Order 28, August 11, 1952
"
Executive Order    8355 , Transfer of Lands From the Idaho National Forest to the Salmon National Forest; Idaho,"Signed: February 25, 1940","Federal Register page and date: 5 FR 827, March 2, 1940 
"
Executive Order    8356 , Rules of Precedence Relating to Foreign Service Officers and Other Officers of the United States Government ,"Signed: March 2, 1940 ","Federal Register page and date: 5 FR 949, March 6, 1940 
 Revokes: 
    
    EO 4705, August 10, 1927
Amended by: EO 8377, March 18, 1940 
Superseded by: EO 9998, September 14, 1948 
"
Executive Order    8357,  Administration of the Foreign Service Under Reorganization Plan No. II,"Signed: March 2, 1940","Federal Register page and date: 5 FR 950, March 6, 1940 
"
Executive Order    8358 ," Revocation of Executive Order No. 4308 of September 23, 1925, Withdrawing Public Lands for Classification; Arizona ","Signed: March 2, 1940 ","Federal Register page and date: 5 FR 950, March 6, 1940 
 Revokes: 
    
    EO 4308, September 23, 1925 
"
Executive Order    8359 ," Partial Revocation of Executive Order No. 3406 of February 13, 1921, Withdrawing Lands for Lighthouse Purposes; Alaska","Signed: March 2, 1940 ","Federal Register page and date: 5 FR 951, March 6, 1940 
 Amends: 
    
    EO 3406, February 13, 1921 
"
Executive Order    8360 ," Amendment of Paragraph 1, Subdivision VI, Schedule B of the Civil Service Rules ","Signed: March 2, 1940 ","Federal Register page and date: 5 FR 951, March 6, 1940 
"
Executive Order    8361,"  Amendment of Executive Order No. 6909 of November 21, 1934, Withdrawing Public Lands for Use in Connection With a Grazing Project; South Dakota","Signed: March 2, 1940","Federal Register page and date: 5 FR 851, March 6, 1940 
 Amends: 
    
    EO 6909, November 21, 1934 
 See: 
    
    EO 6910, November 26, 1934; EO 7908, June 9, 
    1938; Public Land Order 10, July 8, 1942 (7 FR 5449) 
"
Executive Order    8362,  Appointment of Archie L. Hardy to Social Security Board Without Compliance With Civil Service Rules,"Signed: March 2, 1940","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8363,"  Amendment of Executive Order No. 8283 of November 9, 1939, Amending Section 6 of Civil Service Rule II","Signed: March 4, 1940 ","Federal Register page and date: 5 FR 952, March 6, 1940 
Amends: EO 8283, November 9, 1939 
Revoked by: EO 9830, February 24, 1947 
"
Executive Order    8364,"  Revocation of Executive Order No. 5346 of May 9, 1930, Withdrawing Public Lands; Minnesota","Signed: March 4, 1940","Federal Register page and date: 5 FR 952, March 6, 1940 
 Revokes: 
    
    EO 5346, May 9, 1930 
"
Executive Order    8365,  Appointment of Mrs. Rose S. Rutledge to a Clerical Position in Agriculture Department,"Signed: March 4, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8366 , Designating the Chairman of the Board of Governors of the Federal Reserve System,"Signed: March 5, 1940 ","Federal Register page and date: 5 FR 985, March 8, 1940 
"
Executive Order    8367,"  Extending the Limits of the Customs Port of Entry of Savannah, Georgia, in Customs Collection District Number 17 (Georgia) ","Signed: March 5, 1940 ","Federal Register page and date: 5 FR 985, March 8, 1940 
"
Executive Order    8368,  Exemption of Ales Hrdlicka From Compulsory Retirement for Age ,"Signed: March 7, 1940 ","See: EO 8058, February 23, 1939; EO 
      8710, March 12, 1941 
Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8369,  Exemption of Louis A. Simon From Compulsory Retirement for Age,"Signed: March 7, 1940 ","Amends: EO 7581, March 19, 1937; EO 
      7824, February 25, 1938; EO 8046, February 
      11, 1939 
Amended by: EO 8747, April 28, 1941 
Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8370,  Appointment of Edith M. Watkins to Department of Justice Without Regard to Civil Service Rules,"Signed: March 8, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
